text	label
Vintage modernt i nya inredningar	0
Nytt avtal för tidningsbud	0
Bitincident på skola ska granskas	0
Greps för knivdrama	0
Tre kvinnor samlade	0
Revisorer ska få nya rutiner	0
Dom mot rödakhmerledare i juli	0
Allt svårare åka kollektivt	0
Rekordmånga turister 2003	0
MP röstade ja till solceller på hustak	0
Rekordmånga turister 2003	0
Danska förbundet säger nej till spelarna	0
Grönt ljus för slopad skatt på bensin och diesel	0
Rika barn rösta mest	0
Bandidosmannens dubbelliv häktade - misstänkta för grovt penningtvättsbrott	0
Allt svårare åka kollektivt	0
Doktorn vet bäst	0
Högskolor vill dela på språk	0
Manual hjälp vid föräldraskap	0
Uppgifter: Rooney vill lämna Man United	0
Reträtt från Afghanistan är främst en politisk fråga	0
Företagen väntas låna mer	0
Fortsatt bränslebrist i Frankrike	0
En trio som ger allt	0
Bottennotering för fynd av olja - lägst sedan 1940-talet	0
Advokaten: Lek - inte mordplan	0
Så skaffar du EXTRA PENGAR TILL DIN PENSION	0
Kronologisk frågesport	0
Föräldrar kan mista körkortet efter sonens fortkörning	0
Partnerskap väntas få grönt ljus	0
FYNDA SISTA RESORNA TILL SOLEN	0
Träindustrin nyrekryterar	0
Från safari till djurpark	0
Yxmannen har besökt Sverige	0
Danskarna firar att nettoskulden är noll	1
Hammarby har bara positiva erfarenheter	1
Kaninstöld slutade lyckligt	1
"""Nu kan jag dö lycklig"""	1
Svensk sexualupplysning på nätet har blivit en succe - i Mellanöstern	1
SOK-basen är nöjd - än så länge	1
"""VI VANN KAMPEN"""	1
Många godbitar på årets West Pride	1
En strålande glad pristagare	1
"Surrogat-mamma för nionde gången. Carole: ""Jag älskar att var gravid"""	1
"Ståhls nya succé i ""fel"" gren: ""Det är roligt"""	1
Avslöjade glada nyheten - med att visa upp ringen	1
"Felix Herngrens ""Solsidan"" korat till tidernas bästa TV4-program - firar"	1
Hamrén njuter i tv-soffan: Otroligt viktigt att lyckas i	1
Thörnblad: Det största jag vunnit	1
Skoj för påsklovslediga	1
Trendsättaren Magnus Laurin som trivs bäst i köket	1
MTV är aldrig tråkigt	1
Äntligen några friska äldre i tv	1
KOMMENTARER VÄRLDEN RUNT: Vi är överväldigade - underbara nyheter	1
Glädje i Coetzees nya hemland	1
Lycka är ­ allt utom pengar	1
Det pirrar i magen när det blir spännande på tv	1
